recommendation_rule_id,skin_type,acne_level_0_5,dryness_level_0_5,oiliness_level_0_5,sensitivity_level_0_5,recommended_cleanser,recommended_moisturizer,recommended_serum,recommended_spf,recommended_treatment,source_datasets
REC0001457,oily,4,1,0,5,gentle foam cleanser,light lotion moisturizer,vitamin c serum,spf50 matte,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001458,oily,4,1,0,5,gentle foam cleanser,rich cream moisturizer,hyaluronic acid serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001459,oily,4,1,1,1,salicylic acid cleanser,oil free gel moisturizer,retinol serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001460,oily,4,1,1,3,acne control cleanser,rich cream moisturizer,vitamin c serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001461,oily,4,1,1,4,hydrating cleanser,oil free gel moisturizer,vitamin c serum,spf30,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001462,oily,4,1,1,5,milk cleanser,rich cream moisturizer,peptide serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001463,oily,4,1,2,3,salicylic acid cleanser,soothing moisturizer,hyaluronic acid serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001464,oily,4,1,3,4,salicylic acid cleanser,ceramide moisturizer,niacinamide serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001465,oily,4,1,3,4,salicylic acid cleanser,soothing moisturizer,retinol serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001466,oily,4,1,4,0,acne control cleanser,ceramide moisturizer,hyaluronic acid serum,spf50 matte,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001467,oily,4,1,4,2,milk cleanser,soothing moisturizer,vitamin c serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001468,oily,4,1,4,3,ultra gentle cleanser,light lotion moisturizer,centella serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001469,oily,4,1,5,4,salicylic acid cleanser,ceramide moisturizer,hyaluronic acid serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001470,oily,4,2,0,1,salicylic acid cleanser,ceramide moisturizer,niacinamide serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001471,oily,4,2,0,2,milk cleanser,ceramide moisturizer,niacinamide serum,spf50 matte,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001472,oily,4,2,1,0,milk cleanser,ceramide moisturizer,hyaluronic acid serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001473,oily,4,2,1,2,salicylic acid cleanser,rich cream moisturizer,retinol serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001474,oily,4,2,2,0,hydrating cleanser,oil free gel moisturizer,retinol serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001475,oily,4,2,3,0,hydrating cleanser,rich cream moisturizer,niacinamide serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001476,oily,4,2,3,2,salicylic acid cleanser,soothing moisturizer,centella serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001477,oily,4,3,0,5,ultra gentle cleanser,oil free gel moisturizer,centella serum,spf30,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001478,oily,4,3,1,4,gentle foam cleanser,rich cream moisturizer,peptide serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001479,oily,4,3,1,5,gentle foam cleanser,oil free gel moisturizer,peptide serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001480,oily,4,3,3,0,hydrating cleanser,light lotion moisturizer,centella serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001481,oily,4,3,3,5,hydrating cleanser,rich cream moisturizer,peptide serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001482,oily,4,3,4,0,acne control cleanser,soothing moisturizer,vitamin c serum,spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001483,oily,4,3,4,3,milk cleanser,ceramide moisturizer,niacinamide serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001484,oily,4,3,5,0,acne control cleanser,light lotion moisturizer,niacinamide serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001485,oily,4,3,5,2,acne control cleanser,rich cream moisturizer,retinol serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001486,oily,4,3,5,3,salicylic acid cleanser,soothing moisturizer,vitamin c serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001487,oily,4,4,0,3,salicylic acid cleanser,soothing moisturizer,retinol serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001488,oily,4,4,0,4,acne control cleanser,ceramide moisturizer,hyaluronic acid serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001489,oily,4,4,0,5,salicylic acid cleanser,ceramide moisturizer,centella serum,mineral spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001490,oily,4,4,1,1,hydrating cleanser,light lotion moisturizer,hyaluronic acid serum,spf50 matte,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001491,oily,4,4,2,4,salicylic acid cleanser,ceramide moisturizer,niacinamide serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001492,oily,4,4,2,5,hydrating cleanser,rich cream moisturizer,vitamin c serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001493,oily,4,4,3,0,gentle foam cleanser,ceramide moisturizer,centella serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001494,oily,4,4,4,1,salicylic acid cleanser,rich cream moisturizer,centella serum,spf30,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001495,oily,4,4,4,3,acne control cleanser,ceramide moisturizer,retinol serum,mineral spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001496,oily,4,4,4,3,acne control cleanser,soothing moisturizer,centella serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001497,oily,4,4,5,3,milk cleanser,light lotion moisturizer,centella serum,spf50 matte,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001498,oily,4,4,5,4,milk cleanser,ceramide moisturizer,centella serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001499,oily,4,5,0,1,gentle foam cleanser,soothing moisturizer,niacinamide serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001500,oily,4,5,0,1,hydrating cleanser,ceramide moisturizer,niacinamide serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001501,oily,4,5,0,2,salicylic acid cleanser,oil free gel moisturizer,vitamin c serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001502,oily,4,5,0,3,gentle foam cleanser,rich cream moisturizer,vitamin c serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001503,oily,4,5,0,3,hydrating cleanser,ceramide moisturizer,retinol serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001504,oily,4,5,0,4,gentle foam cleanser,ceramide moisturizer,hyaluronic acid serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001505,oily,4,5,1,1,hydrating cleanser,oil free gel moisturizer,peptide serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001506,oily,4,5,1,2,acne control cleanser,oil free gel moisturizer,retinol serum,mineral spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001507,oily,4,5,3,0,acne control cleanser,soothing moisturizer,retinol serum,spf50 matte,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001508,oily,4,5,3,0,hydrating cleanser,rich cream moisturizer,vitamin c serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001509,oily,4,5,3,4,milk cleanser,rich cream moisturizer,centella serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001510,oily,4,5,4,0,acne control cleanser,light lotion moisturizer,niacinamide serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001511,oily,4,5,4,0,gentle foam cleanser,soothing moisturizer,centella serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001512,oily,4,5,5,2,acne control cleanser,rich cream moisturizer,centella serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001513,oily,5,0,0,1,acne control cleanser,light lotion moisturizer,retinol serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001514,oily,5,0,0,1,salicylic acid cleanser,light lotion moisturizer,retinol serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001515,oily,5,0,0,3,gentle foam cleanser,soothing moisturizer,centella serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001516,oily,5,0,1,0,hydrating cleanser,rich cream moisturizer,vitamin c serum,spf50 matte,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001517,oily,5,0,1,0,milk cleanser,ceramide moisturizer,niacinamide serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001518,oily,5,0,1,1,milk cleanser,ceramide moisturizer,retinol serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001519,oily,5,0,2,2,hydrating cleanser,light lotion moisturizer,centella serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001520,oily,5,0,4,2,ultra gentle cleanser,oil free gel moisturizer,niacinamide serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001521,oily,5,1,0,1,acne control cleanser,light lotion moisturizer,peptide serum,spf50 matte,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001522,oily,5,1,0,1,acne control cleanser,soothing moisturizer,retinol serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001523,oily,5,1,0,3,hydrating cleanser,rich cream moisturizer,niacinamide serum,mineral spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001524,oily,5,1,1,0,salicylic acid cleanser,soothing moisturizer,retinol serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001525,oily,5,1,1,1,salicylic acid cleanser,rich cream moisturizer,niacinamide serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001526,oily,5,1,1,3,hydrating cleanser,ceramide moisturizer,retinol serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001527,oily,5,1,2,4,ultra gentle cleanser,oil free gel moisturizer,centella serum,spf50 matte,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001528,oily,5,1,3,2,gentle foam cleanser,rich cream moisturizer,vitamin c serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001529,oily,5,1,3,2,salicylic acid cleanser,oil free gel moisturizer,peptide serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001530,oily,5,1,3,5,acne control cleanser,rich cream moisturizer,hyaluronic acid serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001531,oily,5,1,4,0,hydrating cleanser,oil free gel moisturizer,retinol serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001532,oily,5,1,5,0,ultra gentle cleanser,light lotion moisturizer,peptide serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001533,oily,5,1,5,1,acne control cleanser,light lotion moisturizer,hyaluronic acid serum,spf30,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001534,oily,5,1,5,1,salicylic acid cleanser,rich cream moisturizer,niacinamide serum,spf30,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001535,oily,5,1,5,4,acne control cleanser,light lotion moisturizer,hyaluronic acid serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001536,oily,5,1,5,4,ultra gentle cleanser,ceramide moisturizer,hyaluronic acid serum,spf50 matte,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001537,oily,5,1,5,5,milk cleanser,ceramide moisturizer,niacinamide serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001538,oily,5,2,1,4,ultra gentle cleanser,rich cream moisturizer,vitamin c serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001539,oily,5,2,2,2,hydrating cleanser,oil free gel moisturizer,centella serum,spf50 matte,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001540,oily,5,2,2,4,ultra gentle cleanser,oil free gel moisturizer,niacinamide serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001541,oily,5,2,3,4,milk cleanser,soothing moisturizer,vitamin c serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001542,oily,5,2,3,4,salicylic acid cleanser,soothing moisturizer,centella serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001543,oily,5,2,5,2,hydrating cleanser,oil free gel moisturizer,peptide serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001544,oily,5,3,0,0,ultra gentle cleanser,ceramide moisturizer,hyaluronic acid serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001545,oily,5,3,0,4,hydrating cleanser,ceramide moisturizer,vitamin c serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001546,oily,5,3,2,1,milk cleanser,light lotion moisturizer,vitamin c serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001547,oily,5,3,2,5,milk cleanser,ceramide moisturizer,peptide serum,spf50 matte,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001548,oily,5,3,3,0,ultra gentle cleanser,oil free gel moisturizer,retinol serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001549,oily,5,3,3,2,ultra gentle cleanser,light lotion moisturizer,peptide serum,spf50 matte,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001550,oily,5,3,3,3,salicylic acid cleanser,oil free gel moisturizer,peptide serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001551,oily,5,3,4,5,hydrating cleanser,light lotion moisturizer,centella serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001552,oily,5,3,5,0,hydrating cleanser,ceramide moisturizer,centella serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001553,oily,5,3,5,2,ultra gentle cleanser,oil free gel moisturizer,centella serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001554,oily,5,4,0,1,ultra gentle cleanser,soothing moisturizer,hyaluronic acid serum,mineral spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001555,oily,5,4,1,1,hydrating cleanser,ceramide moisturizer,peptide serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001556,oily,5,4,1,2,gentle foam cleanser,light lotion moisturizer,retinol serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001557,oily,5,4,1,3,hydrating cleanser,ceramide moisturizer,niacinamide serum,spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001558,oily,5,4,1,4,hydrating cleanser,ceramide moisturizer,niacinamide serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001559,oily,5,4,2,2,hydrating cleanser,rich cream moisturizer,retinol serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001560,oily,5,4,2,3,gentle foam cleanser,oil free gel moisturizer,peptide serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001561,oily,5,4,2,3,gentle foam cleanser,soothing moisturizer,hyaluronic acid serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001562,oily,5,4,2,3,ultra gentle cleanser,light lotion moisturizer,hyaluronic acid serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001563,oily,5,4,4,3,gentle foam cleanser,oil free gel moisturizer,centella serum,spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001564,oily,5,4,4,3,ultra gentle cleanser,soothing moisturizer,hyaluronic acid serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001565,oily,5,4,5,5,milk cleanser,light lotion moisturizer,peptide serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001566,oily,5,5,0,1,gentle foam cleanser,light lotion moisturizer,niacinamide serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001567,oily,5,5,0,4,acne control cleanser,light lotion moisturizer,vitamin c serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001568,oily,5,5,1,0,hydrating cleanser,soothing moisturizer,retinol serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001569,oily,5,5,1,2,salicylic acid cleanser,oil free gel moisturizer,peptide serum,mineral spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001570,oily,5,5,1,4,milk cleanser,oil free gel moisturizer,centella serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001571,oily,5,5,2,0,ultra gentle cleanser,rich cream moisturizer,niacinamide serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001572,oily,5,5,2,2,hydrating cleanser,rich cream moisturizer,vitamin c serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001573,oily,5,5,2,5,gentle foam cleanser,soothing moisturizer,peptide serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001574,oily,5,5,3,2,salicylic acid cleanser,ceramide moisturizer,niacinamide serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001575,oily,5,5,4,3,gentle foam cleanser,rich cream moisturizer,centella serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001576,oily,5,5,4,3,milk cleanser,light lotion moisturizer,hyaluronic acid serum,mineral spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001577,sensitive,0,0,0,1,ultra gentle cleanser,ceramide moisturizer,vitamin c serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001578,sensitive,0,0,0,3,hydrating cleanser,soothing moisturizer,retinol serum,spf50 matte,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001579,sensitive,0,0,1,4,milk cleanser,soothing moisturizer,niacinamide serum,spf30,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001580,sensitive,0,0,3,0,salicylic acid cleanser,ceramide moisturizer,peptide serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001581,sensitive,0,0,3,2,acne control cleanser,rich cream moisturizer,retinol serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001582,sensitive,0,0,3,3,milk cleanser,ceramide moisturizer,hyaluronic acid serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001583,sensitive,0,0,3,4,ultra gentle cleanser,rich cream moisturizer,hyaluronic acid serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001584,sensitive,0,0,3,5,acne control cleanser,oil free gel moisturizer,niacinamide serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001585,sensitive,0,0,4,5,ultra gentle cleanser,oil free gel moisturizer,niacinamide serum,spf50 matte,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001586,sensitive,0,0,5,1,acne control cleanser,ceramide moisturizer,centella serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001587,sensitive,0,1,0,0,gentle foam cleanser,light lotion moisturizer,peptide serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001588,sensitive,0,1,0,2,ultra gentle cleanser,rich cream moisturizer,centella serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001589,sensitive,0,1,0,3,salicylic acid cleanser,soothing moisturizer,retinol serum,spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001590,sensitive,0,1,0,4,acne control cleanser,light lotion moisturizer,retinol serum,spf30,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001591,sensitive,0,1,0,4,gentle foam cleanser,oil free gel moisturizer,niacinamide serum,mineral spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001592,sensitive,0,1,1,5,ultra gentle cleanser,light lotion moisturizer,hyaluronic acid serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001593,sensitive,0,1,4,3,gentle foam cleanser,oil free gel moisturizer,hyaluronic acid serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001594,sensitive,0,1,5,0,acne control cleanser,oil free gel moisturizer,vitamin c serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001595,sensitive,0,1,5,5,gentle foam cleanser,rich cream moisturizer,vitamin c serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001596,sensitive,0,2,0,0,acne control cleanser,oil free gel moisturizer,hyaluronic acid serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001597,sensitive,0,2,0,1,milk cleanser,rich cream moisturizer,retinol serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001598,sensitive,0,2,0,4,milk cleanser,light lotion moisturizer,vitamin c serum,spf50 matte,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001599,sensitive,0,2,1,1,salicylic acid cleanser,rich cream moisturizer,hyaluronic acid serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001600,sensitive,0,2,1,5,gentle foam cleanser,rich cream moisturizer,hyaluronic acid serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001601,sensitive,0,2,1,5,salicylic acid cleanser,light lotion moisturizer,vitamin c serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001602,sensitive,0,2,3,0,milk cleanser,oil free gel moisturizer,peptide serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001603,sensitive,0,2,4,5,salicylic acid cleanser,light lotion moisturizer,centella serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001604,sensitive,0,2,5,2,ultra gentle cleanser,ceramide moisturizer,vitamin c serum,mineral spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001605,sensitive,0,3,0,2,gentle foam cleanser,rich cream moisturizer,vitamin c serum,spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0001606,sensitive,0,3,0,2,ultra gentle cleanser,ceramide moisturizer,centella serum,spf30,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
